Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,obj
111,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,111,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
112,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,112,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
113,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,113,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
114,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,114,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
115,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,115,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
116,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,116,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
117,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,117,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
118,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,118,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
119,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,119,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
120,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,120,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
121,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,121,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
122,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,122,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
123,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,123,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
124,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,124,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
125,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,125,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
126,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,126,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
127,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,127,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
128,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,128,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
129,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,129,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
130,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,130,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
131,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,131,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
132,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,132,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
133,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,133,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
134,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,134,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
135,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,135,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
136,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,136,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
137,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,137,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
138,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,138,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
